Instructor,Last Name,First Name,Course,Quarter,Year,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,% Recommend Class,Percentage Recommended Professor,% Recommend Instructor,Study Hours per Week,Average Grade Expected,GPA Expected,Average Grade Received,GPA Received,Evalulation URL
Wilbur Kenneth C,Wilbur,Kenneth,MGT 100 - Customer Analytics (A),SP23,2023,88,78,0.782,78.2,0.795,79.5,6.97,B (3.23),3.23,B (3.15),3.15,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148967
Wilbur Kenneth C,Wilbur,Kenneth,MGT 100 - Customer Analytics (B),SP23,2023,89,83,0.771,77.1,0.807,80.7,6.99,B+ (3.36),3.36,B (3.15),3.15,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148968
Wilbur Kenneth C,Wilbur,Kenneth,MGT 100 - Customer Analytics (C),SP23,2023,86,83,0.759,75.9,0.711,71.1,7.7,B+ (3.35),3.35,B (3.16),3.16,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=179499
Ehrich Kristine R,Ehrich,Kristine,MGT 103 - Product Marketing & Management (A),SP23,2023,85,65,0.954,95.4,0.938,93.8,3.98,B+ (3.40),3.4,B (3.03),3.03,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148970
Ehrich Kristine R,Ehrich,Kristine,MGT 103 - Product Marketing & Management (B),SP23,2023,85,72,0.972,97.2,0.986,98.6,3.78,B+ (3.36),3.36,B (3.14),3.14,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148971
Bates Kenneth Walter,Bates,Kenneth,MGT 103 - Product Marketing & Management (E),SP23,2023,83,78,0.897,89.7,0.948,94.8,4.09,B+ (3.33),3.33,B (3.14),3.14,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148974
Demill Burritt,Demill,Burritt,MGT 103 - Product Marketing & Management (F),SP23,2023,87,87,0.954,95.4,0.966,96.6,4.99,B+ (3.52),3.52,B+ (3.36),3.36,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148975
Demill Burritt,Demill,Burritt,MGT 103 - Product Marketing & Management (G),SP23,2023,83,79,0.975,97.5,0.975,97.5,4.86,A- (3.70),3.7,B+ (3.48),3.48,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148976
Bates Kenneth Walter,Bates,Kenneth,MGT 105 - Product Promotion & Brand Mgt (A),SP23,2023,84,69,0.957,95.7,0.899,89.9,3.71,B+ (3.48),3.48,B (3.13),3.13,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148977
Somasundaram Tyagarajan,Somasundaram,Tyagarajan,MGT 112 - Global Business Strategy (A),SP23,2023,54,46,0.87,87,0.848,84.8,4.94,B+ (3.58),3.58,B+ (3.34),3.34,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148979
Somasundaram Tyagarajan,Somasundaram,Tyagarajan,MGT 112 - Global Business Strategy (B),SP23,2023,35,31,0.833,83.3,0.867,86.7,5.66,B+ (3.32),3.32,B- (3.00),3,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148980
