Instructor,Course,Quarter,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received,Evalulation URL
Wilbur Kenneth C,MGT 100 - Customer Analytics (A),SP23,88,78,78.2%,79.5%,6.97,B (3.23),B (3.15),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148967
Wilbur Kenneth C,MGT 100 - Customer Analytics (B),SP23,89,83,77.1%,80.7%,6.99,B+ (3.36),B (3.15),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148968
Wilbur Kenneth C,MGT 100 - Customer Analytics (C),SP23,86,83,75.9%,71.1%,7.7,B+ (3.35),B (3.16),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=179499
Ehrich Kristine R,MGT 103 - Product Marketing & Management (A),SP23,85,65,95.4%,93.8%,3.98,B+ (3.40),B (3.03),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148970
Ehrich Kristine R,MGT 103 - Product Marketing & Management (B),SP23,85,72,97.2%,98.6%,3.78,B+ (3.36),B (3.14),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148971
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (E),SP23,83,78,89.7%,94.8%,4.09,B+ (3.33),B (3.14),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148974
Demill Burritt,MGT 103 - Product Marketing & Management (F),SP23,87,87,95.4%,96.6%,4.99,B+ (3.52),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148975
Demill Burritt,MGT 103 - Product Marketing & Management (G),SP23,83,79,97.5%,97.5%,4.86,A- (3.70),B+ (3.48),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148976
Bates Kenneth Walter,MGT 105 - Product Promotion & Brand Mgt (A),SP23,84,69,95.7%,89.9%,3.71,B+ (3.48),B (3.13),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148977
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (A),SP23,54,46,87.0%,84.8%,4.94,B+ (3.58),B+ (3.34),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148979
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (B),SP23,35,31,83.3%,86.7%,5.66,B+ (3.32),B- (3.00),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148980
Ehrich Kristine R,MGT 112 - Global Business Strategy (C),SP23,65,62,95.1%,93.4%,5.35,B+ (3.60),B+ (3.42),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148981
Zimmermann Carsten,MGT 112 - Global Business Strategy (D),SP23,67,54,92.6%,98.1%,4.43,A- (3.80),A- (3.72),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=179503
Mc Kenzie Craig R.M.,MGT 119 - Topics in Business (A),SP23,45,22,100.0%,100.0%,4.31,B+ (3.67),B (3.08),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148984
Anderson Jon Marcus,MGT 119 - Topics in Business (B),SP23,78,40,100.0%,100.0%,3.12,A- (3.98),A- (3.99),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148985
Davis Kathleen Ann,MGT 119 - Topics in Business (C),SP23,48,12,70.0%,80.0%,3.9,A- (3.80),B+ (3.59),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148986
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (A),SP23,96,87,100.0%,100.0%,3.53,A- (3.75),A- (3.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148952
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (B),SP23,96,78,100.0%,98.7%,3.04,A- (3.78),A- (3.81),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148953
Klaas Jeffrey David,MGT 121A - Innovation to Market A (A),SP23,88,74,93.2%,91.9%,4.26,B+ (3.61),B+ (3.49),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=179508
Klaas Jeffrey David,MGT 121B - Innovation to Market B (A),SP23,57,53,96.2%,100.0%,4.84,B+ (3.65),B+ (3.51),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148987
Krishnan Viswanathan,MGT 128R - Business Innovation & Growth (A),SP23,84,82,87.8%,90.2%,3.91,B+ (3.51),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148988
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),SP23,37,30,73.3%,73.3%,6.23,B (3.00),C+ (2.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148989
Houskeeper Robert,MGT 131B - Intermediate Accounting B (A),SP23,37,28,82.1%,75.0%,5.43,B (3.29),B+ (3.38),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148990
Blakley Bruce,MGT 132 - Auditing (A),SP23,38,14,46.2%,58.3%,6.5,B (3.00),B (3.14),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148991
Pecore Joseph P.,MGT 133 - Advanced Cost Accounting (A),SP23,24,12,81.8%,90.0%,3.95,A- (3.86),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148992
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),SP23,25,25,100.0%,100.0%,6.9,B+ (3.60),B+ (3.68),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148993
Anderson John Charles,MGT 147 - Not-for-profit & Govt Acct (A),SP23,27,23,95.7%,100.0%,5.05,B (3.27),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148994
Perols Johan Lars,MGT 153 - Business Analytics (A),SP23,80,27,91.7%,91.7%,7.5,B (3.29),B (3.19),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148995
Phiroz Zal Navroze,MGT 153 - Business Analytics (B),SP23,83,33,96.7%,96.7%,5.88,B+ (3.67),B+ (3.66),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148996
Bliss Barbara Ann,MGT 158 - Real Estate & the Tech Sector (A),SP23,78,70,95.7%,100.0%,4.47,B+ (3.69),B+ (3.60),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148997
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (A),SP23,112,45,95.1%,92.7%,4.12,B+ (3.46),B- (2.84),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148954
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (B),SP23,107,44,97.6%,97.6%,3.82,B+ (3.60),B- (2.94),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148955
Buchanan Harold G,MGT 16 - Personal Ethics at Work (C),SP23,92,87,97.7%,94.3%,3.53,B+ (3.52),B+ (3.30),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148956
Buchanan Harold G,MGT 16 - Personal Ethics at Work (D),SP23,96,91,93.4%,94.5%,3.57,B+ (3.60),B+ (3.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148957
Sadoff Sally,MGT 160 - Experiments in Firms (A),SP23,92,33,86.2%,93.1%,6.43,A- (3.79),A- (3.74),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148998
Sadoff Sally,MGT 160 - Experiments in Firms (B),SP23,93,35,84.8%,97.0%,6.14,A- (3.84),A- (3.77),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148999
Demill Burritt,MGT 162 - Negotiations (A),SP23,86,68,100.0%,100.0%,3.79,A- (3.77),B+ (3.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149000
Rai Tage S,MGT 162 - Negotiations (B),SP23,85,65,93.8%,92.3%,3.3,B+ (3.39),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149001
